"COUNTRY";"AREA";"YEAR";"MONTH";"DAY";"HAUL_NUMBER";"Longitude";"Latitude"
"ESP";1;2003;5;24;134;-2.78066666666667;36.5873333333333
"ESP";1;2003;5;25;135;-4.73016666666667;36.4538333333333
"ESP";1;2003;5;25;136;-4.65016666666667;36.4188333333333
"ESP";1;2003;5;25;137;-4.52958333333333;36.5561666666667
"ESP";1;2003;5;25;138;-4.30133333333333;36.6881666666667
"ESP";1;2003;5;25;139;-4.05608333333333;36.7130833333333
"ESP";1;2003;5;26;140;-4.28433333333333;36.69525
"ESP";1;2004;5;6;1;-4.35041666666667;36.6095
"ESP";1;2004;5;6;2;-4.29608333333333;36.6753333333333
"ESP";1;2004;5;6;3;-4.27383333333333;36.6940833333333
"ESP";1;2004;5;7;4;-5.20075;36.3636666666667
"ESP";1;2004;5;7;5;-5.13958333333333;36.33625
"ESP";1;2004;5;7;6;-5.04416666666667;36.297
"ESP";1;2004;5;7;7;-4.94233333333333;36.2594166666667
"ESP";1;2004;5;7;8;-4.73416666666667;36.3145
"ESP";1;2004;5;8;9;-4.442;36.4030833333333
"ESP";1;2004;5;8;10;-4.30958333333333;36.33175
"ESP";1;2004;5;8;11;-4.17141666666667;36.50125
"ESP";1;2004;5;8;12;-4.29008333333333;36.49075
"ESP";1;2004;5;9;13;-3.606;36.7188333333333
"ESP";1;2004;5;9;14;-3.76666666666667;36.6554166666667
"ESP";1;2004;5;9;15;-3.85858333333333;36.608
"ESP";1;2004;5;9;16;-4.07741666666667;36.6159166666667
"ESP";1;2004;5;9;17;-4.04325;36.6486666666667
"ESP";1;2004;5;10;18;-2.76741666666667;36.6350833333333
"ESP";1;2004;5;10;19;-2.65483333333333;36.6664166666667
"ESP";1;2004;5;10;20;-2.54383333333333;36.7115
"ESP";1;2004;5;10;21;-2.57541666666667;36.7221666666667
"ESP";1;2004;5;11;22;-2.27;36.7635
"ESP";1;2004;5;11;23;-2.29791666666667;36.71625
"ESP";1;2004;5;11;24;-2.4505;36.6429166666667
"ESP";1;2004;5;11;25;-2.53608333333333;36.5743333333333
"ESP";1;2004;5;11;26;-2.64408333333333;36.5774166666667
"ESP";1;2004;5;12;27;-1.85883333333333;36.8724166666667
"ESP";1;2004;5;12;28;-1.74616666666667;36.8790833333333
"ESP";1;2004;5;12;29;-1.76758333333333;37.1351666666667
"ESP";1;2004;5;12;30;-1.65058333333333;37.2435833333333
"ESP";1;2004;5;13;31;-1.554;37.3658333333333
"ESP";1;2004;5;13;32;-1.57025;37.3529166666667
"ESP";1;2004;5;13;33;-1.40216666666667;37.38475
"ESP";1;2004;5;13;34;-1.16491666666667;37.5099166666667
"ESP";1;2004;5;13;35;-0.926916666666667;37.5416666666667
"ESP";1;2004;5;13;36;-0.81375;37.53225
"ESP";1;2004;6;2;122;-2.17458333333333;36.5160833333333
"ESP";1;2004;6;2;123;-2.79816666666667;36.46775
"ESP";1;2004;6;2;124;-2.95825;36.4805833333333
"ESP";1;2004;6;3;125;-3.04991666666667;36.54525
"ESP";1;2004;6;3;126;-3.21075;36.6590833333333
"ESP";1;2004;6;3;127;-3.2605;36.684
"ESP";1;2004;6;3;128;-3.30875;36.7206666666667
"ESP";1;2005;5;9;1;-4.28783333333333;36.6885
"ESP";1;2005;5;9;2;-4.35666666666667;36.6085833333333
"ESP";1;2005;5;10;3;-5.19975;36.3640833333333
"ESP";1;2005;5;10;4;-5.044;36.2966666666667
"ESP";1;2005;5;10;5;-4.92075;36.2760833333333
"ESP";1;2005;5;10;6;-5.03841666666667;36.2488333333333
"ESP";1;2005;5;11;7;-4.73425;36.31625
"ESP";1;2005;5;11;8;-4.76391666666667;36.3613333333333
"ESP";1;2005;5;11;9;-4.75866666666667;36.4255833333333
"ESP";1;2005;5;11;10;-4.55725;36.4988333333333
"ESP";1;2005;5;12;11;-4.08558333333333;36.7089166666667
"ESP";1;2005;5;12;12;-4.03866666666667;36.62775
"ESP";1;2005;5;12;13;-3.84483333333333;36.6131666666667
"ESP";1;2005;5;12;14;-3.61841666666667;36.6219166666667
"ESP";1;2005;5;13;15;-3.29925;36.7230833333333
"ESP";1;2005;5;13;16;-3.27208333333333;36.6998333333333
"ESP";1;2005;5;13;17;-3.096;36.5690833333333
"ESP";1;2005;5;13;18;-2.74316666666667;36.5834166666667
"ESP";1;2005;5;14;19;-2.58816666666667;36.71025
"ESP";1;2005;5;14;20;-2.67583333333333;36.65325
"ESP";1;2005;5;14;21;-2.44308333333333;36.6173333333333
"ESP";1;2005;5;14;22;-2.18491666666667;36.511
"ESP";1;2005;5;15;23;-1.76633333333333;36.8485
"ESP";1;2005;5;15;24;-1.88233333333333;36.8325833333333
"ESP";1;2005;5;15;25;-1.77541666666667;37.1055833333333
"ESP";1;2005;5;15;26;-1.6585;37.22875
"ESP";1;2005;5;16;27;-1.5575;37.3648333333333
"ESP";1;2005;5;16;28;-1.568;37.3538333333333
"ESP";1;2005;5;16;29;-1.38225;37.39075
"ESP";1;2005;5;16;30;-1.16025;37.5109166666667
"ESP";1;2005;5;16;31;-0.93225;37.54025
"ESP";1;2005;6;6;117;-2.26991666666667;36.7619166666667
"ESP";1;2005;6;6;118;-2.41216666666667;36.7555833333333
"ESP";1;2005;6;6;119;-2.68975;36.5665
"ESP";1;2005;6;6;120;-2.78283333333333;36.476
"ESP";1;2005;6;7;121;-4.31291666666667;36.3375833333333
"ESP";1;2005;6;7;122;-4.18616666666667;36.48025
"ESP";1;2005;6;7;123;-4.26133333333333;36.5095833333333
